Data retrieved at: 2026-01-30 19:56:16 | Total rows: 157 | sim: 110 | unknown: 47

--- SIM DATA ---
id,timestamp,temperature,humidity,irradiance,wind_speed,source
51,2026-01-28 23:38:40,26.06,67.54,517.22,2.92,sim
52,2026-01-28 23:19:53,24.66,64.45,240.19,7.65,sim
53,2026-01-28 23:08:40,34.92,43.91,596.72,1.08,sim
54,2026-01-28 22:38:40,25.80,42.88,858.94,4.18,sim
55,2026-01-28 22:19:53,28.76,69.38,603.76,9.01,sim
56,2026-01-28 22:08:40,33.76,60.41,539.01,10.62,sim
57,2026-01-28 21:38:40,38.78,74.16,577.08,2.73,sim
58,2026-01-28 21:19:53,22.22,64.55,695.29,1.81,sim
59,2026-01-28 21:08:40,36.55,67.56,869.16,12.92,sim
60,2026-01-28 20:38:40,26.10,54.39,561.64,4.13,sim
61,2026-01-28 20:19:53,21.22,53.54,239.27,3.23,sim
62,2026-01-28 20:08:40,28.34,74.87,356.81,9.85,sim
63,2026-01-28 19:38:40,27.91,84.95,1182.25,9.11,sim
64,2026-01-28 19:19:53,27.57,63.31,478.49,4.80,sim
65,2026-01-28 18:19:53,21.79,41.22,725.08,3.26,sim
66,2026-01-28 17:19:53,25.02,41.91,769.65,4.96,sim
67,2026-01-28 16:19:53,29.21,62.28,264.54,5.44,sim
68,2026-01-28 15:19:53,21.70,52.70,524.83,6.10,sim
69,2026-01-28 14:19:53,27.03,68.15,276.87,5.68,sim
70,2026-01-28 13:52:28,25.74,50.75,729.71,2.90,sim
71,2026-01-28 13:47:28,28.24,59.59,214.49,7.24,sim
72,2026-01-28 13:42:28,23.29,56.13,302.89,5.49,sim
73,2026-01-28 13:37:28,20.45,44.67,265.89,5.76,sim
74,2026-01-28 13:32:28,28.14,52.53,551.80,9.66,sim
75,2026-01-28 13:27:28,20.92,42.04,648.97,0.16,sim
76,2026-01-28 13:22:28,23.86,51.99,399.16,4.05,sim
77,2026-01-28 13:19:53,28.48,40.23,225.18,6.70,sim
78,2026-01-28 13:17:28,25.45,65.71,222.66,9.02,sim
79,2026-01-28 13:12:28,26.10,42.86,657.43,4.72,sim
80,2026-01-28 13:07:28,29.09,43.94,367.47,8.80,sim
81,2026-01-28 13:02:28,20.33,56.12,241.27,9.57,sim
82,2026-01-28 12:57:28,29.81,40.97,602.05,5.57,sim
83,2026-01-28 12:52:28,24.02,63.27,599.31,2.44,sim
84,2026-01-28 12:47:28,25.45,41.66,371.91,5.46,sim
85,2026-01-28 12:42:28,26.59,41.83,643.78,0.64,sim
86,2026-01-28 12:37:28,28.77,58.31,402.06,0.20,sim
87,2026-01-28 12:32:28,24.12,44.94,570.79,2.25,sim
88,2026-01-28 12:27:29,22.34,69.62,474.24,3.26,sim
89,2026-01-28 12:22:29,25.21,56.48,713.49,3.79,sim
90,2026-01-28 12:19:53,25.95,48.85,723.35,0.03,sim
91,2026-01-28 12:17:29,23.15,49.11,748.14,7.42,sim
92,2026-01-28 12:12:29,21.93,59.53,496.23,0.49,sim
93,2026-01-28 12:07:29,22.10,48.55,276.26,9.56,sim
94,2026-01-28 12:02:29,27.70,60.35,589.97,2.98,sim
95,2026-01-28 11:57:29,27.96,59.92,418.92,3.95,sim
96,2026-01-28 11:52:29,29.44,66.50,322.40,1.29,sim
97,2026-01-28 11:47:29,29.04,48.99,682.63,5.49,sim
98,2026-01-28 11:42:29,29.69,64.17,799.10,8.07,sim
99,2026-01-28 11:37:29,21.22,54.06,205.11,9.26,sim
100,2026-01-28 11:32:29,20.31,51.16,607.79,3.09,sim
101,2026-01-28 11:27:29,21.12,61.45,794.05,4.39,sim
102,2026-01-28 11:22:29,25.63,67.65,695.47,4.12,sim
103,2026-01-27 23:16:26,21.56,40.41,369.14,1.66,sim
104,2026-01-27 20:08:24,25.39,45.88,488.55,4.46,sim
105,2026-01-27 20:03:24,28.09,44.19,362.63,3.03,sim
106,2026-01-27 19:58:24,26.75,48.54,266.90,1.54,sim
107,2026-01-27 19:54:10,20.55,51.82,641.32,8.21,sim
108,2026-01-27 19:54:09,27.84,46.43,646.12,4.42,sim
109,2026-01-27 19:53:24,27.02,50.35,219.93,7.16,sim
110,2026-01-27 19:48:24,28.52,66.62,367.37,1.55,sim

--- UNKNOWN DATA ---
id,timestamp,temperature,humidity,irradiance,wind_speed,source
1,2026-01-30 17:22:53,26.02,76.00,0.00,4.12,
2,2026-01-30 17:22:52,26.02,76.00,0.00,4.12,
3,2026-01-30 17:22:51,26.02,76.00,0.00,4.12,
4,2026-01-30 17:22:50,26.02,76.00,0.00,4.12,
5,2026-01-30 17:22:49,26.02,76.00,0.00,4.12,
6,2026-01-30 17:22:48,26.02,76.00,0.00,4.12,
7,2026-01-30 17:22:47,26.02,76.00,0.00,4.12,
8,2026-01-30 17:22:46,26.02,76.00,0.00,4.12,
9,2026-01-30 17:22:45,26.02,76.00,0.00,4.12,
10,2026-01-30 17:22:44,26.02,76.00,0.00,4.12,
11,2026-01-28 19:08:40,26.33,68.00,0.00,3.60,
12,2026-01-28 19:08:39,26.33,68.00,0.00,3.60,
13,2026-01-28 19:08:38,26.33,68.00,0.00,3.60,
14,2026-01-28 19:08:36,26.33,68.00,0.00,3.60,
15,2026-01-28 19:08:35,26.33,68.00,0.00,3.60,
16,2026-01-28 19:08:34,26.33,68.00,0.00,3.60,
17,2026-01-28 19:08:33,26.33,68.00,0.00,3.60,
18,2026-01-28 19:08:32,26.33,68.00,0.00,3.60,
19,2026-01-28 19:08:31,26.33,68.00,0.00,3.60,
20,2026-01-28 19:08:30,26.33,68.00,0.00,3.60,
21,2026-01-28 19:08:29,27.19,61.00,316.55,1.65,
22,2026-01-28 18:43:06,26.73,66.00,0.00,3.60,
23,2026-01-28 18:43:05,26.73,66.00,0.00,3.60,
24,2026-01-28 18:43:04,26.73,66.00,0.00,3.60,
25,2026-01-28 18:43:03,26.73,66.00,0.00,3.60,
26,2026-01-28 18:43:02,26.73,66.00,0.00,3.60,
27,2026-01-28 18:43:01,26.73,66.00,0.00,3.60,
28,2026-01-28 18:43:00,26.73,66.00,0.00,3.60,
29,2026-01-28 18:42:59,26.73,66.00,0.00,3.60,
30,2026-01-28 18:42:58,26.73,66.00,0.00,3.60,
31,2026-01-28 18:42:56,24.55,62.53,550.08,4.70,
32,2026-01-28 18:27:37,27.43,55.36,451.95,1.39,
33,2026-01-21 12:09:43,24.95,57.13,728.96,2.94,
34,2026-01-20 16:05:00,29.10,66.00,460.00,6.00,
35,2026-01-20 16:00:00,28.50,65.20,450.00,5.80,
36,2026-01-19 20:59:02,28.50,65.20,450.00,5.80,
37,2026-01-19 20:32:29,28.50,65.20,450.00,5.80,
38,2026-01-19 18:54:02,32.30,81.03,666.93,14.78,
39,2026-01-19 18:53:57,31.47,42.37,1048.04,6.72,
40,2026-01-19 18:53:52,26.00,51.83,767.10,11.26,
41,2026-01-19 18:53:47,33.05,87.88,516.54,2.70,
42,2026-01-19 18:53:42,34.10,87.06,658.98,1.24,
43,2026-01-19 18:53:37,39.02,67.80,1046.03,8.26,
44,2026-01-19 18:53:32,33.30,65.58,529.96,11.36,
45,2026-01-19 18:53:27,27.23,70.05,1178.17,12.15,
46,2026-01-19 18:53:22,33.38,45.24,792.97,11.05,
47,2026-01-19 18:53:17,31.00,54.12,655.98,11.03,

